縣市,lon,lat,地標類型
台南市,120.179246,23.007327,學校
高雄市,120.31486,22.663318,學校
高雄市,120.340441,22.643612,學校
高雄市,120.339146,22.648486,學校
高雄市,120.335626,22.645491,學校
高雄市,120.349013,22.630782,學校
高雄市,120.350303,22.630696,學校
高雄市,120.34572,22.629938,學校
高雄市,120.350998,22.62554,醫療診所
桃園市,121.229659,24.942205,學校
桃園市,121.235705,24.938472,學校
桃園市,121.219092,24.939486,學校
桃園市,121.30141,25.009212,學校
桃園市,121.297222,25.008568,學校
桃園市,121.292801,25.02106,學校
桃園市,121.298441,25.054654,學校
桃園市,121.297319,25.052426,學校
桃園市,121.21721,24.856272,學校
桃園市,121.214993,24.856853,學校
桃園市,121.216592,24.858781,學校
桃園市,121.214579,24.853706,學校
桃園市,121.391023,25.045436,學校